2	0	0	0
2	0	50	0
1	0	0.208333	0
5	0	15.1855	15.1855
5	15.1855	15.1855	0
5	0	15.1856	15.1855
5	15.1855	15.1855	0
5	0	15.1856	15.1855
5	15.1855	15.1855	0
5	0	15.1856	15.1855
5	15.1855	15.1855	0
5	0	15.1856	15.1855
5	15.1855	15.1855	0
1	0	0	0
2	0	0.195313	0
2	0	0	0
2	0	4.79622	0
1	0	0.208333	0
5	0	17.334	17.334
5	17.334	17.334	0
5	0	17.334	17.334
5	17.334	17.334	0
5	0	17.2852	17.2852
5	17.2852	17.2852	0
5	0	17.334	17.334
5	17.334	17.334	0
5	0	17.3096	17.3096
5	17.3096	17.3096	0
1	0	0	0
2	0	0.195313	0
2	0	0	0
2	0	5.12695	0
1	0	0.208333	0
5	0	19.5801	19.5801
5	19.5801	19.5801	0
5	0	19.5801	19.5801
5	19.5801	19.5801	0
5	0	19.5801	19.5801
5	19.5801	19.5801	0
5	0	19.5801	19.5801
5	19.5801	19.5801	0
5	0	19.5801	19.5801
5	19.5801	19.5801	0
1	0	0	0
2	0	0.195313	0
2	0	0	0
2	0	5.51758	0
1	0	0.208333	0
5	0	22.0703	22.0703
5	22.0703	22.0703	0
5	0	22.0703	22.0703
5	22.0703	22.0703	0
5	0	22.0459	22.0459
5	22.0459	22.0459	0
5	0	22.0703	22.0703
5	22.0703	22.0703	0
5	0	22.0703	22.0703
5	22.0703	22.0703	0
1	0	0	0
2	0	0.195313	0
2	0	0	0
2	0	6.00586	0
1	0	0.208333	0
1	0	7.19167	7.19167
5	7.19167	20.9692	20.9692
5	20.9692	20.9692	7.22656
1	7.22656	7.22656	0
1	0	7.19167	7.19167
5	7.19167	20.9692	20.9692
5	20.9692	20.9692	7.22656
1	7.22656	7.22656	0
1	0	7.28727	7.28727
5	7.28727	20.9448	20.9448
5	20.9448	20.9448	7.12891
1	7.12891	7.12891	0
1	0	7.14102	7.14102
5	7.14102	20.9692	20.9692
5	20.9692	20.9692	7.22656
1	7.22656	7.22656	0
1	0	7.23948	7.23948
